iter	Passed	Remaining
0	1	139
1	2	127
2	3	125
3	4	116
4	6	116
5	7	114
6	8	113
7	9	113
8	11	112
9	12	111
10	13	110
11	14	108
12	15	106
13	17	105
14	18	104
15	19	102
16	20	102
17	22	100
18	23	99
19	24	98
20	26	98
21	27	97
22	28	95
23	29	94
24	31	93
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	38	86
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	53	70
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	58
53	67	57
54	67	55
55	69	54
56	70	53
57	71	51
58	72	50
59	74	49
60	75	48
61	76	46
62	77	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
